Individual,Num_Faults,LEDS,Swarm_Size,user_order,Fault_Type1,Fault_Type2,Bal_Avg,Video Type
19,2,OFF,LARGE,33,WHEEL,WHEEL,0.5,12
20,0,ON,SMALL,34,NONE,NONE,1,1
20,0,ON,LARGE,34,NONE,NONE,1,2
20,0,OFF,SMALL,34,NONE,NONE,1,3
20,0,OFF,LARGE,34,NONE,NONE,1,4
20,1,ON,SMALL,34,WHEEL,NONE,1,5
20,1,ON,LARGE,34,WHEEL,NONE,0.5,6
20,1,OFF,SMALL,34,PROX,NONE,0.466666667,7
20,1,OFF,LARGE,34,PROX,NONE,0.5,8
20,2,ON,SMALL,34,WHEEL,WHEEL,1,9
20,2,ON,LARGE,34,WHEEL,WHEEL,0.491935484,10
20,2,OFF,SMALL,34,PROX,PROX,0.5,11
20,2,OFF,LARGE,34,PROX,PROX,0.75,12
21,0,ON,SMALL,35,NONE,NONE,1,1
21,0,ON,LARGE,35,NONE,NONE,1,2
21,0,OFF,SMALL,35,NONE,NONE,1,3
21,0,OFF,LARGE,35,NONE,NONE,1,4
21,1,ON,SMALL,35,PROX,NONE,1,5
21,1,ON,LARGE,35,PROX,NONE,0.5,6
21,1,OFF,SMALL,35,WHEEL,NONE,1,7
21,1,OFF,LARGE,35,WHEEL,NONE,1,8
21,2,ON,SMALL,35,WHEEL,PROX,1,9
21,2,ON,LARGE,35,PROX,PROX,0.75,10
21,2,OFF,SMALL,35,WHEEL,WHEEL,1,11
21,2,OFF,LARGE,35,WHEEL,PROX,0.75,12
22,0,ON,SMALL,36,NONE,NONE,1,1
22,0,ON,LARGE,36,NONE,NONE,0.984375,2
22,0,OFF,SMALL,36,NONE,NONE,1,3
22,0,OFF,LARGE,36,NONE,NONE,0.984375,4
22,1,ON,SMALL,36,WHEEL,NONE,1,5
22,1,ON,LARGE,36,WHEEL,NONE,0.5,6
22,1,OFF,SMALL,36,PROX,NONE,1,7
22,1,OFF,LARGE,36,PROX,NONE,1,8
22,2,ON,SMALL,36,WHEEL,PROX,0.714285714,9
22,2,ON,LARGE,36,PROX,PROX,0.5,10
22,2,OFF,SMALL,36,WHEEL,WHEEL,1,11
22,2,OFF,LARGE,36,WHEEL,PROX,0.5,12
23,0,ON,SMALL,37,NONE,NONE,1,1
23,0,ON,LARGE,37,NONE,NONE,1,2
23,0,OFF,SMALL,37,NONE,NONE,0.9375,3
23,0,OFF,LARGE,37,NONE,NONE,1,4
23,1,ON,SMALL,37,WHEEL,NONE,1,5
23,1,ON,LARGE,37,PROX,NONE,1,6
23,1,OFF,SMALL,37,WHEEL,NONE,0.966666667,7
23,1,OFF,LARGE,37,PROX,NONE,0.5,8
23,2,ON,SMALL,37,PROX,PROX,0.5,9
23,2,ON,LARGE,37,WHEEL,PROX,1,10
23,2,OFF,SMALL,37,WHEEL,WHEEL,1,11
23,2,OFF,LARGE,37,WHEEL,PROX,1,12
24,0,ON,SMALL,38,NONE,NONE,1,1
24,0,ON,LARGE,38,NONE,NONE,1,2
24,0,OFF,SMALL,38,NONE,NONE,1,3
24,0,OFF,LARGE,38,NONE,NONE,1,4
24,1,ON,SMALL,38,WHEEL,NONE,1,5
24,1,ON,LARGE,38,PROX,NONE,1,6
24,1,OFF,SMALL,38,WHEEL,NONE,1,7
24,1,OFF,LARGE,38,PROX,NONE,0.5,8
24,2,ON,SMALL,38,PROX,PROX,0.75,9
24,2,ON,LARGE,38,WHEEL,PROX,0.5,10
24,2,OFF,SMALL,38,WHEEL,WHEEL,1,11
24,2,OFF,LARGE,38,WHEEL,PROX,0.75,12
25,0,ON,SMALL,39,NONE,NONE,1,1
25,0,ON,LARGE,39,NONE,NONE,1,2
25,0,OFF,SMALL,39,NONE,NONE,1,3
25,0,OFF,LARGE,39,NONE,NONE,1,4
25,1,ON,SMALL,39,PROX,NONE,0.5,5
25,1,ON,LARGE,39,WHEEL,NONE,0.5,6
25,1,OFF,SMALL,39,WHEEL,NONE,1,7
25,1,OFF,LARGE,39,PROX,NONE,1,8
25,2,ON,SMALL,39,PROX,PROX,0.428571429,9
25,2,ON,LARGE,39,WHEEL,PROX,1,10
25,2,OFF,SMALL,39,WHEEL,WHEEL,1,11
25,2,OFF,LARGE,39,WHEEL,PROX,0.5,12
26,0,ON,SMALL,40,NONE,NONE,1,1
26,0,ON,LARGE,40,NONE,NONE,1,2
26,0,OFF,SMALL,40,NONE,NONE,1,3
26,0,OFF,LARGE,40,NONE,NONE,0.984375,4
26,1,ON,SMALL,40,WHEEL,NONE,1,5
26,1,ON,LARGE,40,PROX,NONE,0.5,6
26,1,OFF,SMALL,40,WHEEL,NONE,1,7
26,1,OFF,LARGE,40,PROX,NONE,0.5,8
26,2,ON,SMALL,40,PROX,PROX,1,9
26,2,ON,LARGE,40,WHEEL,PROX,0.75,10
26,2,OFF,SMALL,40,WHEEL,WHEEL,1,11
27,2,OFF,LARGE,40,WHEEL,PROX,0.75,12
27,0,ON,SMALL,41,NONE,NONE,1,1
27,0,ON,LARGE,41,NONE,NONE,1,2
27,0,OFF,SMALL,41,NONE,NONE,1,3
27,0,OFF,LARGE,41,NONE,NONE,1,4
27,1,ON,SMALL,41,WHEEL,NONE,0.5,5
27,1,ON,LARGE,41,PROX,NONE,0.5,6
27,1,OFF,SMALL,41,WHEEL,NONE,1,7
27,1,OFF,LARGE,41,PROX,NONE,1,8
27,2,ON,SMALL,41,PROX,PROX,0.5,9
27,2,ON,LARGE,41,WHEEL,PROX,0.75,10
27,2,OFF,SMALL,41,WHEEL,PROX,0.75,11
27,2,OFF,LARGE,41,WHEEL,WHEEL,0.75,12
28,0,ON,SMALL,42,NONE,NONE,1,1
28,0,ON,LARGE,42,NONE,NONE,1,2
28,0,OFF,SMALL,42,NONE,NONE,1,3
28,0,OFF,LARGE,42,NONE,NONE,1,4
28,1,ON,SMALL,42,WHEEL,NONE,1,5
28,1,ON,LARGE,42,PROX,NONE,0.5,6
28,1,OFF,SMALL,42,WHEEL,NONE,1,7
28,1,OFF,LARGE,42,PROX,NONE,1,8
28,2,ON,SMALL,42,PROX,PROX,0.75,9
28,2,ON,LARGE,42,WHEEL,PROX,1,10
28,2,OFF,SMALL,42,WHEEL,PROX,0.75,11
28,2,OFF,LARGE,42,WHEEL,WHEEL,0.991935484,12
29,0,ON,SMALL,43,NONE,NONE,1,1
29,0,ON,LARGE,43,NONE,NONE,1,2
29,0,OFF,SMALL,43,NONE,NONE,0.9375,3
29,0,OFF,LARGE,43,NONE,NONE,0.984375,4
29,1,ON,SMALL,43,PROX,NONE,1,5
29,1,ON,LARGE,43,WHEEL,NONE,1,6
29,1,OFF,SMALL,43,WHEEL,NONE,0.5,7
29,1,OFF,LARGE,43,PROX,NONE,0.492063492,8
29,2,ON,SMALL,43,PROX,PROX,0.75,9
29,2,ON,LARGE,43,WHEEL,PROX,0.491935484,10
29,2,OFF,LARGE,43,WHEEL,PROX,0.685483871,12
29,2,OFF,LARGE,43,WHEEL,WHEEL,0.459677419,12
30,0,ON,SMALL,44,NONE,NONE,1,1
30,0,ON,LARGE,44,NONE,NONE,1,2
30,0,OFF,SMALL,44,NONE,NONE,1,3
30,0,OFF,LARGE,44,NONE,NONE,1,4
30,1,ON,SMALL,44,WHEEL,NONE,1,5
30,1,ON,LARGE,44,PROX,NONE,0.992063492,6
30,1,OFF,SMALL,44,PROX,NONE,0.5,7
30,1,OFF,LARGE,44,WHEEL,NONE,0.5,8
30,2,ON,SMALL,44,PROX,PROX,1,9
30,2,ON,LARGE,44,WHEEL,WHEEL,0.991935484,10
30,2,OFF,SMALL,44,WHEEL,PROX,1,11
30,2,OFF,LARGE,44,PROX,PROX,0.5,12
