,Video Type 1,,,Video Type 2,,,Video Type 3,,,Video Type 4,,,Video Type 5,,,Video Type 6,,,Video Type 7,,,Video Type 8,,,Video Type 9,,,Video Type 10,,,Video Type 11,,,Video Type 12,,,Video Type Duplicate 1,,,Video Type Duplicate 2,,
,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason,Robot ID,Timestamp,Reason
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,7,21,Prox Sensor Random,62,76,Left Wheel Zero,11,70.1,Prox Sensor Random,18,70.5,Left Wheel Zero,9,51.1,Left Wheel Zero,27,31.6,Prox Sensor Random,2,58.5,Left Wheel Zero,31,26.4,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,42.4,Prox Sensor Random,43,63,Prox Sensor Random,10,61.7,Left Wheel Zero,48,65.5,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 10,Seed 119,Exp 9,,Seed 127,Exp 4,,Seed 114,Exp 10,,Seed 128,Exp 6,,Seed 153,Exp 2,,Seed 145,Exp 11,,Seed 156,Exp 5,,Seed 144,Exp 1,,Seed 227,Exp 12,,Seed 255,Exp 7,,Seed 208,Exp 3,,Seed 254,Exp 8,,,,,,,
Guesses,3,195,proximity failure,NONE,NONE,NONE,11,145,wheel failure,3,141,proximity failure,5,65,proximity issue,NONE,NONE,NONE,NONE,NONE,NONE,43,83,wheel failure,10,37,wheel failure,34,190,? proximity failure,1,64,Wheel failure,NONE,NONE,NONE,,,,,,
,,,,,,,,,,3-Revoke,190,nada,,,,,,,,,,,,,13,72,proximity failure,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Values,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,12,48.8,Prox Sensor Random,20,39.6,Left Wheel Zero,10,41.8,Prox Sensor Random,43,29.1,Left Wheel Zero,10,1.7,Left Wheel Zero,34,68.1,Prox Sensor Random,11,75.9,Left Wheel Zero,4,72.4,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,13,0.2,Prox Sensor Random,47,12.3,Prox Sensor Random,1,21.4,Left Wheel Zero,16,49.3,Prox Sensor Random,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User 11,Seed 111,Exp 4,,Seed 129,Exp 8,,Seed 112,Exp 1,,Seed 130,Exp 9,,Seed 133,Exp 11,,Seed 167,Exp 5,,Seed 138,Exp 7,,Seed 170,Exp 12,,Seed 205,Exp 10,,Seed 217,Exp 3,,Seed 246,Exp 6,,Seed 260,Exp 2,,,,,,,
Guesses,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,15,109,Circles,16,181,Slow,8,112,obstructed,49,89,Slow,3,56,Circles,60,70,Slow,9,33,Slow,NONE,NONE,NONE,,,,,,
,,,,,,,,,,,,,,,,,,,8-Revoke,nada,nada,,,,0,82,Circles,18,168,Circles,0,139,Circles,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,14,197,Stopped,,,,7,190,(? before time at the beginning of the guess). Drive into wall,,,,,,,,,
