Individual,Num_Faults,LEDS,Swarm_Size,user_order,Wheel_Fault,Prox_Fault,Bal_Avg,Video Type,TP,TN,FP,FN,MCC,Fault_Type1,Fault_Type2
24,0,OFF,SMALL,24,NONE,NONE,1,3,,,,,,NONE,NONE
24,0,OFF,LARGE,24,NONE,NONE,1,4,,,,,,NONE,NONE
24,1,ON,SMALL,24,YES,NONE,1,5,,,,,,WHEEL,NONE
24,1,ON,LARGE,24,YES,NONE,1,6,,,,,,WHEEL,NONE
24,1,OFF,SMALL,24,NONE,YES,1,7,,,,,,PROX,NONE
24,1,OFF,LARGE,24,NONE,YES,0.5,8,,,,,,PROX,NONE
24,2,ON,SMALL,24,NONE,YES,1,9,,,,,,PROX,PROX
24,2,ON,LARGE,24,YES,YES,0.5,10,,,,,,WHEEL,PROX
24,2,OFF,SMALL,24,YES,YES,1,11,,,,,,WHEEL,PROX
24,2,OFF,LARGE,24,YES,NONE,0.5,12,,,,,,WHEEL,WHEEL
25,0,ON,SMALL,25,NONE,NONE,1,1,,,,,,NONE,NONE
25,0,ON,LARGE,25,NONE,NONE,1,2,,,,,,NONE,NONE
25,0,OFF,SMALL,25,NONE,NONE,1,3,,,,,,NONE,NONE
25,0,OFF,LARGE,25,NONE,NONE,1,4,,,,,,NONE,NONE
25,1,ON,SMALL,25,NONE,YES,1,5,,,,,,PROX,NONE
25,1,ON,LARGE,25,NONE,YES,1,6,,,,,,PROX,NONE
25,1,OFF,SMALL,25,YES,NONE,1,7,,,,,,WHEEL,NONE
25,1,OFF,LARGE,25,YES,NONE,0.5,8,,,,,,WHEEL,NONE
25,2,ON,SMALL,25,YES,NONE,1,9,,,,,,WHEEL,WHEEL
25,2,ON,LARGE,25,YES,NONE,1,10,,,,,,WHEEL,WHEEL
25,2,OFF,SMALL,25,NONE,YES,1,11,,,,,,PROX,PROX
25,2,OFF,LARGE,25,NONE,YES,0.75,12,,,,,,PROX,PROX
26,0,ON,SMALL,26,NONE,NONE,1,1,,,,,,NONE,NONE
26,0,ON,LARGE,26,NONE,NONE,1,2,,,,,,NONE,NONE
26,0,OFF,SMALL,26,NONE,NONE,1,3,,,,,,NONE,NONE
26,0,OFF,LARGE,26,NONE,NONE,1,4,,,,,,NONE,NONE
26,1,ON,SMALL,26,YES,NONE,1,5,,,,,,WHEEL,NONE
26,1,ON,LARGE,26,YES,NONE,0.992063492,6,,,,,,WHEEL,NONE
26,1,OFF,SMALL,26,NONE,YES,1,7,,,,,,PROX,NONE
26,1,OFF,LARGE,26,NONE,YES,1,8,,,,,,PROX,NONE
26,2,ON,SMALL,26,YES,YES,1,9,,,,,,WHEEL,PROX
26,2,ON,LARGE,26,NONE,YES,1,10,,,,,,PROX,PROX
26,2,OFF,SMALL,26,YES,NONE,1,11,,,,,,WHEEL,WHEEL
27,2,OFF,LARGE,26,YES,YES,0.5,12,,,,,,WHEEL,PROX
27,0,ON,SMALL,27,NONE,NONE,1,1,,,,,,NONE,NONE
27,0,ON,LARGE,27,NONE,NONE,0.984375,2,,,,,,NONE,NONE
27,0,OFF,SMALL,27,NONE,NONE,1,3,,,,,,NONE,NONE
27,0,OFF,LARGE,27,NONE,NONE,1,4,,,,,,NONE,NONE
27,1,ON,SMALL,27,NONE,YES,0.5,5,,,,,,PROX,NONE
27,1,ON,LARGE,27,NONE,YES,0.5,6,,,,,,PROX,NONE
27,1,OFF,SMALL,27,YES,NONE,0.5,7,,,,,,WHEEL,NONE
27,1,OFF,LARGE,27,YES,NONE,0.5,8,,,,,,WHEEL,NONE
27,2,ON,SMALL,27,NONE,YES,1,9,,,,,,PROX,PROX
27,2,ON,LARGE,27,YES,YES,0.983870968,10,,,,,,WHEEL,PROX
27,2,OFF,SMALL,27,YES,YES,1,11,,,,,,WHEEL,PROX
27,2,OFF,LARGE,27,YES,NONE,0.75,12,,,,,,WHEEL,WHEEL
28,0,ON,SMALL,28,NONE,NONE,0.875,1,,,,,,NONE,NONE
28,0,ON,LARGE,28,NONE,NONE,0.859375,2,,,,,,NONE,NONE
28,0,OFF,SMALL,28,NONE,NONE,0.8125,3,,,,,,NONE,NONE
